0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;95.871,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
